rd,tz=0,v=1.5
time,radon_B,rd_particle_B,radon_pCi,rd_particle_pCi
1688404800,1.293e+01,1.250e+01,3.494e-01,3.379e-01
1688405400,8.609e+00,1.000e+00,2.327e-01,2.705e-02
1688406000,4.011e+00,9.501e+00,1.084e-01,2.568e-01
1688406600,1.081e+01,1.000e+00,2.922e-01,2.705e-02
1688407200,6.475e+00,4.501e+00,1.750e-01,1.216e-01
1688407800,1.993e+01,2.500e+00,5.385e-01,6.758e-02
1688408400,1.061e+01,2.000e+00,2.866e-01,2.705e-02
1688409000,8.675e+00,3.501e+00,2.345e-01,9.461e-02
1688409600,1.081e+01,5.001e+00,2.921e-01,1.352e-01
1688410200,1.310e+01,3.501e+00,3.541e-01,9.461e-02
1688410800,6.201e+00,6.490e+00,1.676e-01,1.754e-01
1688411400,1.298e+01,3.000e+00,3.508e-01,8.109e-02
1688412000,1.761e+01,1.000e+00,4.759e-01,2.705e-02
1688412600,1.534e+01,5.501e+00,4.145e-01,1.487e-01
1688413200,1.080e+01,6.501e+00,2.919e-01,1.757e-01
1688413800,2.009e+00,5.001e+00,5.428e-02,1.352e-01
1688414400,6.409e+00,1.000e+00,1.732e-01,2.705e-02
1688415000,6.409e+00,7.501e+00,1.732e-01,2.027e-01
1688415600,8.609e+00,2.500e+00,2.327e-01,6.758e-02
1688416200,2.075e+00,6.001e+00,5.607e-02,1.622e-01
1688416800,1.780e+01,1.000e+00,4.810e-01,2.705e-02
1688417400,1.000e+00,3.000e+00,2.705e-02,8.109e-02
1688418000,8.675e+00,5.001e+00,2.345e-01,1.352e-01
1688418600,4.275e+00,3.501e+00,1.155e-01,9.461e-02
1688419200,6.409e+00,7.001e+00,1.732e-01,1.892e-01
1688419800,6.277e+00,1.000e+00,1.696e-01,2.705e-02
